AUN,LEA Name,County
126517286,Mastery CS-Smedley Campus,Philadelphia
126510023,Mastery CS-Thomas Campus,Philadelphia
126517643,Mastery Prep Elementary CS,Philadelphia
126513230,Math Civics and Sciences CS,Philadelphia
126519392,Memphis Street Academy CS @ JP Jones,Philadelphia
126513000,Multicultural Academy CS,Philadelphia
126513420,New Foundations CS,Philadelphia
126510019,Northwood Academy CS,Philadelphia
126513452,Olney Charter High School,Philadelphia
173515368,Pan American Academy CS,Philadelphia
126510004,People for People CS,Philadelphia
126513280,Philadelphia Academy CS,Philadelphia
126510009,Philadelphia Electrical & Tech CHS,Philadelphia
126510929,Philadelphia Hebrew Public CS,Philadelphia
126510016,Philadelphia Montessori CS,Philadelphia
126513400,Philadelphia Performing Arts CS,Philadelphia
126512960,Preparatory CS of Mathematics Science Tech and Careers,Philadelphia
126510008,Richard Allen Preparatory CS,Philadelphia
126510001,Russell Byers CS,Philadelphia
114514135,Sankofa Freedom Academy CS,Philadelphia
108515107,Southwest Leadership Academy CS,Philadelphia
192518422,Tacony Academy CS,Philadelphia
126511530,TECH Freire CS,Philadelphia
126515691,The Philadelphia CS for Arts and Sciences at HR Edmunds,Philadelphia
126512674,Universal Alcorn CS,Philadelphia
126519434,Universal Audenried CS,Philadelphia
126517442,Universal Creighton CS,Philadelphia
126513210,Universal Institute CS,Philadelphia
126513415,Universal Vare CS,Philadelphia
126513020,West Oak Lane CS,Philadelphia
126510006,West Phila. Achievement CES,Philadelphia
126510007,Wissahickon CS,Philadelphia
126513250,Young Scholars CS,Philadelphia
126512870,Youth Build Phila CS,Philadelphia
129544907,Gillingham Charter School,Schuylkill
105620001,Tidioute Community CS,Warren
107653040,Dr Robert Ketterer CS Inc,Westmoreland
112673300,Crispus Attucks CS,York
112673500,Lincoln CS,York
189670676,York Academy Regional CS,York
113363705,Lancaster County Academy,Lancaster
112679205,York Adams Academy,York
